#eta	order
0.000000	0.666667
0.250000	0.666663
0.500000	0.666605
0.750000	0.666321
1.000000	0.665578
1.250000	0.659482
1.500000	0.661030
1.750000	0.651132
2.000000	0.582888
2.250000	0.610932
2.500000	0.638212
2.750000	0.546476
3.000000	0.589427
3.250000	0.566386
3.500000	0.511172
3.750000	0.466577
4.000000	0.479124
4.250000	0.522808
4.500000	0.383152
4.750000	0.425977
5.000000	0.442425
5.250000	0.339810
5.500000	0.440796
5.750000	0.472002
6.000000	0.465619
6.250000	0.409869
6.500000	0.464922
6.750000	0.411295
7.000000	0.453580
7.250000	0.339213
7.500000	0.390390
7.750000	0.410482
8.000000	0.365447
8.250000	0.430441
8.500000	0.405776
8.750000	0.454580
9.000000	0.461933
9.250000	0.443631
9.500000	0.489777
9.750000	0.387777
