#eta	order
0.000000	0.666665
0.250000	0.666654
0.500000	0.666566
0.750000	0.666308
1.000000	0.664994
1.250000	0.662111
1.500000	0.659696
1.750000	0.637858
2.000000	0.627522
2.250000	0.614709
2.500000	0.609084
2.750000	0.613143
3.000000	0.601442
3.250000	0.544474
3.500000	0.525119
3.750000	0.518501
4.000000	0.513129
4.250000	0.520969
4.500000	0.468916
4.750000	0.443700
5.000000	0.474581
5.250000	0.413673
5.500000	0.418828
5.750000	0.424087
6.000000	0.445744
6.250000	0.433600
6.500000	0.375559
6.750000	0.414475
7.000000	0.463214
7.250000	0.429878
7.500000	0.431521
7.750000	0.408856
8.000000	0.425965
8.250000	0.440005
8.500000	0.414315
8.750000	0.413371
9.000000	0.460728
9.250000	0.404153
9.500000	0.446746
9.750000	0.397771
