#eta	order
0.000000	0.000122
0.250000	0.000404
0.500000	0.001404
0.750000	0.002980
1.000000	0.004958
1.250000	0.007945
1.500000	0.010444
1.750000	0.013163
2.000000	0.017622
2.250000	0.020858
2.500000	0.022893
2.750000	0.024914
3.000000	0.027623
3.250000	0.029252
3.500000	0.029413
3.750000	0.029445
4.000000	0.027949
4.250000	0.028217
4.500000	0.026192
4.750000	0.024708
5.000000	0.024722
5.250000	0.022550
5.500000	0.020865
5.750000	0.018752
6.000000	0.015949
6.250000	0.014578
6.500000	0.014897
6.750000	0.016822
7.000000	0.018629
7.250000	0.019006
7.500000	0.020452
7.750000	0.020614
8.000000	0.021190
8.250000	0.021181
8.500000	0.021003
8.750000	0.021152
9.000000	0.021637
9.250000	0.020839
9.500000	0.019489
9.750000	0.019357
