#eta	order
0.000000	0.000014
0.250000	0.000754
0.500000	0.003127
0.750000	0.006959
1.000000	0.012344
1.250000	0.019405
1.500000	0.028040
1.750000	0.036534
2.000000	0.045571
2.250000	0.054782
2.500000	0.062853
2.750000	0.070109
3.000000	0.074902
3.250000	0.079494
3.500000	0.080893
3.750000	0.081801
4.000000	0.080861
4.250000	0.079164
4.500000	0.075866
4.750000	0.072972
5.000000	0.069468
5.250000	0.065256
5.500000	0.060630
5.750000	0.055655
6.000000	0.052299
6.250000	0.050841
6.500000	0.051660
6.750000	0.053471
7.000000	0.055870
7.250000	0.058296
7.500000	0.060200
7.750000	0.061763
8.000000	0.063243
8.250000	0.063892
8.500000	0.064117
8.750000	0.064018
9.000000	0.063902
9.250000	0.063199
9.500000	0.062040
9.750000	0.060867
