#eta	order
0.000000	0.000125
0.250000	0.000369
0.500000	0.001305
0.750000	0.002767
1.000000	0.004725
1.250000	0.007576
1.500000	0.010707
1.750000	0.013229
2.000000	0.017054
2.250000	0.018559
2.500000	0.021920
2.750000	0.024840
3.000000	0.025910
3.250000	0.029300
3.500000	0.028837
3.750000	0.029843
4.000000	0.029170
4.250000	0.027682
4.500000	0.026365
4.750000	0.025301
5.000000	0.023569
5.250000	0.023419
5.500000	0.020792
5.750000	0.018886
6.000000	0.016330
6.250000	0.014228
6.500000	0.015188
6.750000	0.017111
7.000000	0.018753
7.250000	0.019543
7.500000	0.020621
7.750000	0.021002
8.000000	0.021029
8.250000	0.021397
8.500000	0.020989
8.750000	0.021191
9.000000	0.021200
9.250000	0.020536
9.500000	0.019756
9.750000	0.019449
