#eta	order
0.000000	0.000113
0.250000	0.000439
0.500000	0.001297
0.750000	0.002840
1.000000	0.004839
1.250000	0.007186
1.500000	0.010186
1.750000	0.013369
2.000000	0.016259
2.250000	0.019208
2.500000	0.024670
2.750000	0.025434
3.000000	0.026791
3.250000	0.028217
3.500000	0.029066
3.750000	0.029473
4.000000	0.029558
4.250000	0.026682
4.500000	0.026679
4.750000	0.026007
5.000000	0.024482
5.250000	0.022735
5.500000	0.021050
5.750000	0.019189
6.000000	0.016029
6.250000	0.014463
6.500000	0.015154
6.750000	0.017116
7.000000	0.018839
7.250000	0.019348
7.500000	0.020486
7.750000	0.020708
8.000000	0.021293
8.250000	0.021686
8.500000	0.021798
8.750000	0.021379
9.000000	0.020898
9.250000	0.020523
9.500000	0.020771
9.750000	0.019361
