#eta	order
0.000000	0.000120
0.250000	0.000385
0.500000	0.001296
0.750000	0.002831
1.000000	0.004870
1.250000	0.007601
1.500000	0.010635
1.750000	0.014533
2.000000	0.018752
2.250000	0.020398
2.500000	0.023197
2.750000	0.025556
3.000000	0.026075
3.250000	0.028452
3.500000	0.028922
3.750000	0.030082
4.000000	0.029066
4.250000	0.027365
4.500000	0.027037
4.750000	0.025173
5.000000	0.024128
5.250000	0.023484
5.500000	0.021062
5.750000	0.018566
6.000000	0.015858
6.250000	0.014330
6.500000	0.015177
6.750000	0.016675
7.000000	0.018308
7.250000	0.019461
7.500000	0.019810
7.750000	0.020763
8.000000	0.022035
8.250000	0.021538
8.500000	0.021303
8.750000	0.021034
9.000000	0.021293
9.250000	0.020496
9.500000	0.019947
9.750000	0.019507
