#eta	order
0.000000	0.000130
0.250000	0.000409
0.500000	0.001355
0.750000	0.002968
1.000000	0.005102
1.250000	0.007743
1.500000	0.010827
1.750000	0.013892
2.000000	0.016395
2.250000	0.019906
2.500000	0.023704
2.750000	0.025180
3.000000	0.028671
3.250000	0.028098
3.500000	0.030417
3.750000	0.028442
4.000000	0.028472
4.250000	0.027682
4.500000	0.027856
4.750000	0.024955
5.000000	0.023509
5.250000	0.022953
5.500000	0.021035
5.750000	0.018746
6.000000	0.016513
6.250000	0.014624
6.500000	0.015435
6.750000	0.016386
7.000000	0.018486
7.250000	0.019452
7.500000	0.020594
7.750000	0.020783
8.000000	0.021364
8.250000	0.021933
8.500000	0.021670
8.750000	0.021151
9.000000	0.020968
9.250000	0.020364
9.500000	0.020385
9.750000	0.019518
