#eta	order
0.000000	0.000120
0.250000	0.000400
0.500000	0.001298
0.750000	0.002936
1.000000	0.005112
1.250000	0.007917
1.500000	0.010506
1.750000	0.014474
2.000000	0.018105
2.250000	0.021455
2.500000	0.023000
2.750000	0.025137
3.000000	0.026450
3.250000	0.028023
3.500000	0.029715
3.750000	0.030643
4.000000	0.029084
4.250000	0.027541
4.500000	0.027164
4.750000	0.025011
5.000000	0.023941
5.250000	0.023104
5.500000	0.021106
5.750000	0.018449
6.000000	0.015983
6.250000	0.014334
6.500000	0.015236
6.750000	0.016728
7.000000	0.018238
7.250000	0.019382
7.500000	0.019964
7.750000	0.021006
8.000000	0.021290
8.250000	0.021772
8.500000	0.021651
8.750000	0.021532
9.000000	0.020802
9.250000	0.020592
9.500000	0.020281
9.750000	0.020006
