#eta	order
0.000000	0.000116
0.250000	0.000450
0.500000	0.001299
0.750000	0.002832
1.000000	0.004993
1.250000	0.007459
1.500000	0.010057
1.750000	0.014059
2.000000	0.017296
2.250000	0.020187
2.500000	0.022429
2.750000	0.025674
3.000000	0.025350
3.250000	0.028201
3.500000	0.029029
3.750000	0.029611
4.000000	0.028424
4.250000	0.027528
4.500000	0.026309
4.750000	0.025535
5.000000	0.024369
5.250000	0.022945
5.500000	0.021170
5.750000	0.019217
6.000000	0.016014
6.250000	0.014026
6.500000	0.015474
6.750000	0.016598
7.000000	0.018384
7.250000	0.019502
7.500000	0.020386
7.750000	0.020970
8.000000	0.021505
8.250000	0.021398
8.500000	0.021426
8.750000	0.021297
9.000000	0.020070
9.250000	0.020707
9.500000	0.020354
9.750000	0.018963
