#eta	order
3.000000	0.074860
3.066667	0.077159
3.133333	0.079484
3.200000	0.080800
3.266667	0.082712
3.333333	0.084216
3.400000	0.085285
3.466667	0.086885
3.533333	0.087929
3.600000	0.088757
3.666667	0.090012
3.733333	0.090945
3.800000	0.091454
3.866667	0.092570
3.933333	0.093329
4.000000	0.093913
4.066667	0.094499
4.133333	0.094934
4.200000	0.095224
4.266667	0.095431
4.333333	0.095476
4.400000	0.095593
4.466667	0.095418
4.533333	0.095394
4.600000	0.095035
4.666667	0.094445
4.733333	0.094036
4.800000	0.093548
4.866667	0.092856
4.933333	0.091770
