#eta	order
3.000000	0.079148
3.066667	0.082650
3.133333	0.085293
3.200000	0.087607
3.266667	0.089459
3.333333	0.090627
3.400000	0.091742
3.466667	0.093038
3.533333	0.094042
3.600000	0.094225
3.666667	0.095235
3.733333	0.095920
3.800000	0.095662
3.866667	0.096522
3.933333	0.096520
4.000000	0.096654
4.066667	0.096419
4.133333	0.096586
4.200000	0.096082
4.266667	0.095931
4.333333	0.095576
4.400000	0.095461
4.466667	0.094868
4.533333	0.094021
4.600000	0.093787
4.666667	0.093008
4.733333	0.091988
4.800000	0.090936
4.866667	0.090351
4.933333	0.089267
