#eta	order
3.000000	0.073400
3.066667	0.075287
3.133333	0.076914
3.200000	0.079001
3.266667	0.080308
3.333333	0.081945
3.400000	0.083995
3.466667	0.085307
3.533333	0.086683
3.600000	0.087634
3.666667	0.088528
3.733333	0.089814
3.800000	0.090417
3.866667	0.092103
3.933333	0.092397
4.000000	0.093220
4.066667	0.093779
4.133333	0.094428
4.200000	0.094969
4.266667	0.095224
4.333333	0.095688
4.400000	0.095772
4.466667	0.095659
4.533333	0.095818
4.600000	0.095454
4.666667	0.095398
4.733333	0.094690
4.800000	0.093967
4.866667	0.093356
4.933333	0.092540
