#eta	order
3.000000	0.087484
3.066667	0.094189
3.133333	0.096764
3.200000	0.098946
3.266667	0.099620
3.333333	0.099659
3.400000	0.100667
3.466667	0.101008
3.533333	0.101372
3.600000	0.101154
3.666667	0.101183
3.733333	0.100678
3.800000	0.100858
3.866667	0.100621
3.933333	0.100230
4.000000	0.100016
4.066667	0.098987
4.133333	0.098086
4.200000	0.097472
4.266667	0.096592
4.333333	0.095539
4.400000	0.094343
4.466667	0.093293
4.533333	0.092195
4.600000	0.090994
4.666667	0.089833
4.733333	0.088610
4.800000	0.087655
4.866667	0.086360
4.933333	0.085246
