#eta	order
0.000000	0.000002
0.209440	0.000799
0.418879	0.002694
0.628319	0.005503
0.837758	0.009591
1.047198	0.014790
1.256637	0.021153
1.466077	0.027481
1.675516	0.033978
1.884956	0.041617
2.094395	0.049221
2.303835	0.056759
2.513274	0.064663
2.722714	0.070157
2.932153	0.075332
3.141593	0.080391
3.351032	0.084732
3.560472	0.089428
3.769911	0.091162
3.979351	0.093687
4.188790	0.095278
4.398230	0.095797
4.607669	0.095618
4.817109	0.092546
5.026548	0.090113
5.235988	0.086736
5.445427	0.082448
5.654867	0.078009
5.864306	0.074279
6.073746	0.072613
