#eta	order
3.000000	0.076701
3.066667	0.080154
3.133333	0.082487
3.200000	0.084936
3.266667	0.086313
3.333333	0.087905
3.400000	0.088753
3.466667	0.090134
3.533333	0.090989
3.600000	0.091969
3.666667	0.093046
3.733333	0.093738
3.800000	0.094153
3.866667	0.095008
3.933333	0.095285
4.000000	0.095575
4.066667	0.095654
4.133333	0.095889
4.200000	0.095955
4.266667	0.095959
4.333333	0.096038
4.400000	0.095594
4.466667	0.094879
4.533333	0.094874
4.600000	0.094313
4.666667	0.093678
4.733333	0.093026
4.800000	0.092348
4.866667	0.091428
4.933333	0.090412
