#eta	order
3.000000	0.077818
3.066667	0.081388
3.133333	0.084075
3.200000	0.085981
3.266667	0.087144
3.333333	0.088735
3.400000	0.090454
3.466667	0.091404
3.533333	0.092062
3.600000	0.092992
3.666667	0.093939
3.733333	0.094785
3.800000	0.094984
3.866667	0.095443
3.933333	0.095757
4.000000	0.096272
4.066667	0.096285
4.133333	0.096390
4.200000	0.096094
4.266667	0.095991
4.333333	0.095857
4.400000	0.095516
4.466667	0.094960
4.533333	0.094434
4.600000	0.094139
4.666667	0.093207
4.733333	0.092536
4.800000	0.091567
4.866667	0.090606
4.933333	0.089991
