#eta	order
0.000000	0.000004
0.209440	0.000891
0.418879	0.002924
0.628319	0.005957
0.837758	0.010063
1.047198	0.015652
1.256637	0.022055
1.466077	0.028741
1.675516	0.036355
1.884956	0.044930
2.094395	0.052054
2.303835	0.059161
2.513274	0.065674
2.722714	0.072667
2.932153	0.076083
3.141593	0.083515
3.351032	0.086820
3.560472	0.090921
3.769911	0.093030
3.979351	0.095744
4.188790	0.095358
4.398230	0.096201
4.607669	0.094666
4.817109	0.092395
5.026548	0.089211
5.235988	0.085878
5.445427	0.081563
5.654867	0.077400
5.864306	0.074191
6.073746	0.072616
