#eta	order
3.000000	0.079306
3.066667	0.083898
3.133333	0.086796
3.200000	0.088870
3.266667	0.091123
3.333333	0.092033
3.400000	0.093538
3.466667	0.094393
3.533333	0.095209
3.600000	0.095523
3.666667	0.096111
3.733333	0.096574
3.800000	0.096521
3.866667	0.096664
3.933333	0.096748
4.000000	0.096889
4.066667	0.096733
4.133333	0.096739
4.200000	0.096708
4.266667	0.095687
4.333333	0.095854
4.400000	0.095152
4.466667	0.094576
4.533333	0.094001
4.600000	0.093152
4.666667	0.092504
4.733333	0.091741
4.800000	0.090493
4.866667	0.089794
4.933333	0.088561
