#eta	order
3.000000	0.075029
3.066667	0.077605
3.133333	0.079198
3.200000	0.081722
3.266667	0.083043
3.333333	0.084805
3.400000	0.086098
3.466667	0.087000
3.533333	0.088357
3.600000	0.089194
3.666667	0.090402
3.733333	0.091496
3.800000	0.092295
3.866667	0.093289
3.933333	0.093499
4.000000	0.094048
4.066667	0.094586
4.133333	0.095283
4.200000	0.095368
4.266667	0.095622
4.333333	0.095433
4.400000	0.095572
4.466667	0.095350
4.533333	0.095213
4.600000	0.095057
4.666667	0.094445
4.733333	0.093776
4.800000	0.093424
4.866667	0.092537
4.933333	0.091710
