#eta	order
3.000000	0.080471
3.066667	0.085661
3.133333	0.088576
3.200000	0.091216
3.266667	0.092401
3.333333	0.094317
3.400000	0.094924
3.466667	0.095594
3.533333	0.096203
3.600000	0.097035
3.666667	0.097614
3.733333	0.097478
3.800000	0.097329
3.866667	0.097283
3.933333	0.097679
4.000000	0.097202
4.066667	0.097236
4.133333	0.096812
4.200000	0.096619
4.266667	0.096144
4.333333	0.095613
4.400000	0.095015
4.466667	0.094414
4.533333	0.093404
4.600000	0.092642
4.666667	0.091766
4.733333	0.090941
4.800000	0.089853
4.866667	0.089030
4.933333	0.087878
