#eta	order
0.000000	0.999855
0.314159	0.994037
0.628319	0.974597
0.942478	0.935438
1.256637	0.883228
1.570796	0.817113
1.884956	0.752238
2.199115	0.648894
2.513274	0.560437
2.827433	0.476785
3.141593	0.397184
3.455752	0.329919
3.769911	0.261754
4.084070	0.215425
4.398230	0.177760
4.712389	0.143808
5.026548	0.119150
5.340708	0.104050
5.654867	0.095326
5.969026	0.089458
