#rho	order
0.200000	0.553115
0.400000	0.551839
0.600000	0.609280
0.800000	0.665928
1.000000	0.702911
1.200000	0.727187
1.400000	0.749188
1.600000	0.761332
1.800000	0.775016
2.000000	0.783996
2.200000	0.789990
2.400000	0.795868
2.600000	0.799335
2.800000	0.803212
3.000000	0.807242
3.200000	0.809970
3.400000	0.812383
3.600000	0.813921
3.800000	0.816039
4.000000	0.817811
4.200000	0.819360
4.400000	0.820062
4.600000	0.821640
4.800000	0.822455
5.000000	0.823711
5.200000	0.824529
5.400000	0.825088
5.600000	0.826006
5.800000	0.826218
6.000000	0.827224
6.200000	0.827713
6.400000	0.828187
6.600000	0.828866
6.800000	0.829153
7.000000	0.829659
7.200000	0.829999
7.400000	0.830272
7.600000	0.830593
7.800000	0.830812
