#rho	order
0.200000	0.139366
0.400000	0.147923
0.600000	0.193205
0.800000	0.260381
1.000000	0.335769
1.200000	0.405626
1.400000	0.460664
1.600000	0.509380
1.800000	0.550296
2.000000	0.587973
2.200000	0.614930
2.400000	0.635136
2.600000	0.660113
2.800000	0.671656
3.000000	0.680937
3.200000	0.696243
3.400000	0.708756
3.600000	0.717972
3.800000	0.725940
4.000000	0.732546
4.200000	0.743190
4.400000	0.740156
4.600000	0.752948
4.800000	0.753931
5.000000	0.763522
5.200000	0.762979
5.400000	0.768232
5.600000	0.771842
5.800000	0.776652
