#eta	order
0.000000	0.666667
0.250000	0.666665
0.500000	0.666644
0.750000	0.666512
1.000000	0.666156
1.250000	0.665577
1.500000	0.663910
1.750000	0.660853
2.000000	0.655725
2.250000	0.650453
2.500000	0.643274
2.750000	0.632406
3.000000	0.622096
3.250000	0.609414
3.500000	0.597018
3.750000	0.579045
4.000000	0.554508
4.250000	0.538924
4.500000	0.509089
4.750000	0.479413
5.000000	0.447393
5.250000	0.412670
5.500000	0.385919
5.750000	0.365726
6.000000	0.350522
6.250000	0.356215
6.500000	0.349599
6.750000	0.352611
7.000000	0.358933
7.250000	0.363227
7.500000	0.364625
7.750000	0.374065
8.000000	0.377637
8.250000	0.382984
8.500000	0.382563
8.750000	0.380341
9.000000	0.381786
9.250000	0.380870
9.500000	0.375667
9.750000	0.375111
