#eta	order
0.000000	0.666667
0.250000	0.666666
0.500000	0.666660
0.750000	0.666634
1.000000	0.666563
1.250000	0.666390
1.500000	0.666071
1.750000	0.665566
2.000000	0.664519
2.250000	0.662757
2.500000	0.660144
2.750000	0.657434
3.000000	0.652335
3.250000	0.644471
3.500000	0.632679
3.750000	0.618167
4.000000	0.604025
4.250000	0.595078
4.500000	0.574083
4.750000	0.552517
5.000000	0.521405
5.250000	0.483974
5.500000	0.439054
5.750000	0.391390
6.000000	0.354940
6.250000	0.351493
6.500000	0.349123
6.750000	0.357605
7.000000	0.373287
7.250000	0.382739
7.500000	0.380819
7.750000	0.391267
8.000000	0.389608
8.250000	0.393346
8.500000	0.389501
8.750000	0.385010
9.000000	0.386549
9.250000	0.379698
9.500000	0.375357
9.750000	0.377018
