#eta	order
0.000000	0.000010
0.250000	0.001330
0.500000	0.003257
0.750000	0.006554
1.000000	0.012249
1.250000	0.021046
1.500000	0.032851
1.750000	0.047792
2.000000	0.041533
2.250000	0.064052
2.500000	0.073767
2.750000	0.076181
3.000000	0.083438
3.250000	0.082620
3.500000	0.089411
3.750000	0.095222
4.000000	0.092466
4.250000	0.103807
4.500000	0.103849
4.750000	0.101495
5.000000	0.088252
5.250000	0.083303
5.500000	0.078961
5.750000	0.078019
6.000000	0.077749
6.250000	0.070529
6.500000	0.068628
6.750000	0.069843
7.000000	0.077046
7.250000	0.084994
7.500000	0.081341
7.750000	0.088819
8.000000	0.084900
8.250000	0.083842
8.500000	0.084780
8.750000	0.088161
9.000000	0.085728
9.250000	0.090339
9.500000	0.084469
9.750000	0.084115
