#eta	order
0.000000	0.666667
0.250000	0.666667
0.500000	0.666667
0.750000	0.666666
1.000000	0.666664
1.250000	0.666660
1.500000	0.666650
1.750000	0.666634
2.000000	0.666607
2.250000	0.666545
2.500000	0.666515
2.750000	0.666423
3.000000	0.666268
3.250000	0.666094
3.500000	0.665883
3.750000	0.665377
4.000000	0.664783
4.250000	0.663808
4.500000	0.662597
4.750000	0.660795
5.000000	0.656540
5.250000	0.649712
5.500000	0.635968
5.750000	0.598818
6.000000	0.493012
6.250000	0.352914
6.500000	0.415641
6.750000	0.544142
7.000000	0.596155
7.250000	0.620282
7.500000	0.632362
7.750000	0.639333
8.000000	0.643785
8.250000	0.646403
8.500000	0.647206
8.750000	0.646715
9.000000	0.646952
9.250000	0.645378
9.500000	0.643361
9.750000	0.641705
