#eta	order
0.000000	0.666667
0.250000	0.666666
0.500000	0.666648
0.750000	0.666567
1.000000	0.666250
1.250000	0.665804
1.500000	0.664329
1.750000	0.659010
2.000000	0.652181
2.250000	0.651271
2.500000	0.644713
2.750000	0.624259
3.000000	0.620153
3.250000	0.611183
3.500000	0.584888
3.750000	0.588885
4.000000	0.562564
4.250000	0.545927
4.500000	0.502249
4.750000	0.477008
5.000000	0.449388
5.250000	0.424431
5.500000	0.391276
5.750000	0.371911
6.000000	0.350459
6.250000	0.349273
6.500000	0.353130
6.750000	0.360837
7.000000	0.362335
7.250000	0.357623
7.500000	0.370214
7.750000	0.369108
8.000000	0.389504
8.250000	0.391317
8.500000	0.381281
8.750000	0.380586
9.000000	0.381494
9.250000	0.371264
9.500000	0.367979
9.750000	0.367731
