#eta	order
0.000000	0.666667
0.250000	0.666666
0.500000	0.666656
0.750000	0.666613
1.000000	0.666477
1.250000	0.666192
1.500000	0.665511
1.750000	0.664446
2.000000	0.662449
2.250000	0.659038
2.500000	0.654710
2.750000	0.646884
3.000000	0.637652
3.250000	0.625659
3.500000	0.615960
3.750000	0.597350
4.000000	0.582196
4.250000	0.567020
4.500000	0.544324
4.750000	0.521356
5.000000	0.491975
5.250000	0.456221
5.500000	0.411252
5.750000	0.375115
6.000000	0.351253
6.250000	0.348392
6.500000	0.350621
6.750000	0.351032
7.000000	0.358303
7.250000	0.369886
7.500000	0.375585
7.750000	0.377815
8.000000	0.382676
8.250000	0.390627
8.500000	0.379371
8.750000	0.381619
9.000000	0.381789
9.250000	0.375409
9.500000	0.372775
9.750000	0.365328
